Kind;Name;CountInput;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountOutput;CountPath;CountPathLog;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots
Anonymous Class;org.apache.commons.math4.analysis.FunctionUtils.multiply.(Anon_6);17;2;13;10;14;6;8;;;;;;;;;;;
Public Method;org.apache.commons.math4.analysis.FunctionUtils.multiply.(Anon_6).value(DerivativeStructure);3;7;1;5;3;2;0;7;3;4;2;2;2;1;0;0;1;0
Public Method;org.apache.commons.math4.analysis.FunctionUtils.multiply.(Anon_6).value(double);3;7;1;5;2;2;0;7;3;4;2;2;2;1;0;0;1;0
Public Static Method;org.apache.commons.math4.analysis.FunctionUtils.sample(UnivariateFunction,double,double,int);13;17;4;11;5;8;1;12;4;8;4;4;4;1;0;0;1;0
Public Static Method;org.apache.commons.math4.analysis.FunctionUtils.toDifferentiable(MultivariateFunction,MultivariateVectorFunction);2;38;9;28;1;1;0;32;13;19;1;1;1;1;0;0;0;0
Public Static Method;org.apache.commons.math4.analysis.FunctionUtils.toDifferentiable(UnivariateFunction,UnivariateFunction...);1;21;3;14;1;1;0;14;5;9;1;1;1;1;0;0;0;0
Anonymous Class;org.apache.commons.math4.analysis.FunctionUtils.toDifferentiable.(Anon_11);17;1;13;8;12;4;8;;;;;;;;;;;
Public Method;org.apache.commons.math4.analysis.FunctionUtils.toDifferentiable.(Anon_11).value(DerivativeStructure);4;11;1;8;6;4;1;10;3;7;3;3;3;1;0;0;1;0
Public Method;org.apache.commons.math4.analysis.FunctionUtils.toDifferentiable.(Anon_11).value(double);2;3;0;2;2;1;0;2;1;1;1;1;1;1;0;0;0;0
Anonymous Class;org.apache.commons.math4.analysis.FunctionUtils.toDifferentiable.(Anon_12);34;7;27;23;30;12;18;;;;;;;;;;;
Public Method;org.apache.commons.math4.analysis.FunctionUtils.toDifferentiable.(Anon_12).value(DerivativeStructure[]);4;28;7;22;11;18;1;28;11;17;6;6;6;1;0;0;2;0
Public Method;org.apache.commons.math4.analysis.FunctionUtils.toDifferentiable.(Anon_12).value(double[]);2;3;0;2;2;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Class;org.apache.commons.math4.analysis.FunctionUtilsTest;317;143;225;202;246;136;110;;;;;;;;;;;
Public Method;org.apache.commons.math4.analysis.FunctionUtilsTest.testAdd();1;9;5;7;5;1;0;8;5;3;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.math4.analysis.FunctionUtilsTest.testAddDifferentiable();1;10;6;8;7;1;0;7;6;1;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.math4.analysis.FunctionUtilsTest.testCollector();1;14;3;12;3;1;0;13;3;10;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.math4.analysis.FunctionUtilsTest.testCombine();1;11;6;9;3;1;0;10;6;4;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.math4.analysis.FunctionUtilsTest.testCompose();1;14;6;12;5;1;0;13;6;7;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.math4.analysis.FunctionUtilsTest.testComposeDifferentiable();1;18;8;16;8;1;0;16;8;8;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.math4.analysis.FunctionUtilsTest.testDerivativeMultivariate();0;36;17;29;3;3;0;32;20;12;3;3;3;1;0;0;2;0
Anonymous Class;org.apache.commons.math4.analysis.FunctionUtilsTest.testDerivativeMultivariate.(Anon_9);14;6;12;7;9;7;2;;;;;;;;;;;
